Appt,Name,Charity,Registered Number,Date
A149,T2394063364487406226,Capacitar Ireland Limited,20059811,2015-02-14
A150,T2184467632936762998,Roscommon Integrated Development Company Limited T/a Roscommon LEADER Partnership,20070878,2011-09-06
A151,T6685720445169421043,Min A Ghabhann N S,20115265,2015-11-02
A152,T5529448904307366407,Saint Peters College.,20001681,2006-11-06
A153,T3417198043314856630,Sn Na Leanai,20136642,2016-09-03
A154,T648912958784892872,Leighlinbridge Housing Association Ltd,20062750,2006-02-27
A155,T3017366980102801237,St. Joseph's Foundation,20016104,2014-06-09
A156,T3491676778840675651,Irish Refugee Council,20025724,2015-03-28
A157,T396730853219174468,Ballintotas N S,20112929,2019-12-01
A158,T6003366238459669349,Sn Na Leanai,20136642,2016-09-03
A159,T2522999314789952191,Sn Na Leanai,20136642,2016-09-03
A160,T239182195747071240,CanTalk,20142247,2014-09-23
A161,T5111722838771828857,Enniscorthy Christian Fellowship,20068394,2012-05-19
A162,T3140885814934652711,Leanbh Mo Chroi,20080747,2013-01-01
A163,T7579216952752972976,Enable Ireland Sandymount School,20139711,2015-11-01
A164,T2162804463244109989,Ballybay Central,20134013,2016-09-01
A165,T8545181888853798677,Glin Going Strong Club,20040345,1993-01-01
A166,T5591442217670262783,Abbey Theatre Amharclann Na Mainistreach,20038984,2019-06-17
A167,T4385697445249037073,Ballybay Central NS,20132460,2016-02-09
A168,T7869857888126042952,Ballinskelligs Community Care,20047214,2004-04-01
A169,T5356502839058312446,Enniskerry Select Vestry,20005917,2015-04-14
A170,T5071783353237709964,Saint Patrick's College - Cavan.,20016326,2014-10-14
A171,T4884176501750646187,Clonmel Union,20006983,2016-12-15
A172,T7838790862951444655,Mills and Millers of Ireland,20048600,2015-10-10
A173,T7808491483572519848,Missionaries Of Charity Of Mother Teresa Of Calcutta,20017446,2011-12-12
A174,T540821601673551049,22Q11 Ireland Support Group Limited,20066109,2014-10-01
A175,T7135056313943096077,Offaly County Childcare Committee Limited,20049782,2016-07-21
A176,T6373938607233413613,Abbeycarton Ns,20134037,2015-12-04
A177,T774196554425200838,Glencree Centre for Peace and Reconciliation,20009823,2013-11-24
A178,T2928897944415535741,Dalkey School Project Trust,20010386,1979-08-14
A179,T6947636066477572966,Leenane Development Association Limited,20083946,2013-09-26
A180,T6608322964906389423,Ogonnelloe National School,20110710,2016-09-01
A181,T2664345080343042527,Irish Red Cross Society,20005184,2015-05-23
A182,T1983984583753481950,Saint Paul's Area Development Enterprise CLG,20021788,2004-02-09
A183,T1298772550374821310,Employment Development and Information Centre (Longford0 Limited,20058708,2005-03-31
A184,T6909095340744240577,St Mary of Debrework Ethiopian Orthodox Tewahedo Church of Dublin; Ireland,20141967,2016-01-10
A185,T7902958094038154425,Cloonacool N S,20134105,2015-12-01
A186,T8441382618615240971,Cappoquin Community Development Company Ltd.,20028121,1993-05-01
A187,T155448690162263352,Leighlinbridge Community Childcare Limited,20063771,2014-09-08
A188,T253670573681906224,Lee Valley Bible Church,20038717,2016-10-11
A189,T1554166698140003238,Ronanstown Community Childcare Centre,20039288,2002-08-09
A190,T1554166698140003238,Ronanstown Women's Community Development Project Limited,20075576,2014-11-27
A191,T6762568040997781730,Obair Newmarket-On-Fergus Limited.,20026738,2000-03-31
A192,T6677944820314871299,Offaly Money Advice and Budgeting Service Limited,20055745,2011-01-20
A193,T8272531852422731506,Rosbeg/Downstrands Care of the Aged Committee,20045760,1980-01-01
A194,T1132938124817787026,Irish Refugee Council,20025724,2014-03-19
A195,T4489406462571545882,Rosary College,20145811,2016-10-24
A196,T5008296127091713455,Ronald McDonald House Charities (IRL),20037000,2016-02-29
A197,T5327212235815835907,Clonroche N S,20137731,2013-09-25
A198,T4738824847982241499,Glengurt N S,20127251,2015-12-01
A199,T1576787102219087565,Saint Patrick's College - Cavan.,20016326,2014-10-14
A200,T4839088138588037131,Offaly Integrated Local Development Company Limited,20072551,2012-10-23
A201,T9084687871036612943,Cloonloo Development 2000 Limited,20051273,2000-08-23
A202,T8475131373935947017,Irish Society for Autism,20008529,1983-05-27
A203,T8475131373935947017,Irish Society for Autism Housing Association Limited,20065140,2006-08-25
A204,T1688409413489530813,Roscommon County Citizens Information Service Limited,20048815,2007-10-24
A205,T1688409413489530813,Roscommon Home Services Co-operative Ltd,20056827,2008-06-30
A206,T1856962574710500185,Damer And Fortick Charity,20003074,2009-06-19
