Appt,Name,Charity,Registered Number,Date
A1217,T7552432069977041938,Leitrim Association For People With Disabilities,20034283,2009-11-30
A1218,T5114156606324124046,Lee Valley Bible Church,20038717,2016-10-11
A1219,T6682451325801749473,Carbery Agricultural Society,20006655,1971-01-01
A1220,T291250972604239704,Obair Newmarket-On-Fergus Limited.,20026738,2013-04-17
A1221,T6170460274521821633,MILLTOWNPASS COMMUNITY ACTION GROUP,20143169,2003-06-09
A1222,T3631399418041531554,Sn N Breandain,20122263,2015-11-01
A1223,T8384869711781378921,Clontubrid Mixed N S,20125356,2019-12-01
A1224,T5864416780433026226,Enactus Ireland,20080075,2015-10-27
A1225,T5592123313657791499,The Bryan Guinness Charitable Trust CLG,20006174,2015-04-21
A1226,T7724532176607358742,Irish Primary Principals' Network Limited,20063634,2016-01-04
A1227,T4560027098471506122,Irish Red Cross Society,20005184,2012-05-26
A1228,T4560027098471506122,Sn Iosef Naofa,20110857,2015-11-30
A1229,T3523331555775985185,Saint Ultan's Childcare Project Limited,20070038,2008-11-10
A1230,T7994014183309077098,Saint Patrick's College,20000066,2015-03-09
A1231,T1107558747898185287,ENHANCE,20064679,2014-01-30
A1232,T2681782756620076714,A Little Lifetime Foundation,20031688,2017-06-17
A1233,T2946266827244003077,Cappoquin Red Bridge Company Limited,20076603,2011-02-03
A1234,T5484556443041150897,Ognisko Polskie CLG,20013271,2008-06-12
A1235,T4515837912271335348,Cappagh Orthopaedic Hospital Research & Development Foundation,20023201,2017-10-25
A1236,T4326316690664485244,Missionaries of Africa (white Fathers) Company Limited by Guarantee,20008864,2012-04-26
A1237,T7851479123658579192,Ballybay Community Creche Company Limited by Guarantee,20064211,2015-04-13
A1238,T899113905449768902,MILLTOWNPASS COMMUNITY ACTION GROUP,20143169,2003-06-09
A1239,T5107780301414987914,Irish School Of Ecumenics,20009359,2015-05-19
A1240,T1538706188103769127,2nd Ray Presbyterian Church- Manorcunningham.,20000561,1981-05-24
A1241,T780421891247830719,Misean Cara,20055325,2018-09-26
A1242,T2276860477641058919,Lebanon Trust (Ireland) Helping Children,20074449,2010-03-10
A1243,T3333425346920594589,Glencree Centre for Peace and Reconciliation,20009823,2017-09-15
A1244,T8639096928602216531,Daisy Chain Animal Foodbank,20141639,2015-02-01
A1245,T8940451649452811127,Rooskey N S,20133207,2017-03-29
A1246,T5125942529237504113,Endometriosis Association Of Ireland,20021672,2014-07-17
A1247,T753624167322249636,Irish Radiation Research Society,20035372,2014-09-01
A1248,T6959696304980757366,Clonmore N S,20134822,2015-12-14
A1249,T90823574528803148,Irish Refugee Council,20025724,2016-06-15
A1250,T3173420500341134037,Saint Peters College.,20001681,2015-11-23
A1251,T7442525877990275438,Irish Second-Level Students' Union CLG,20141868,2012-04-13
A1252,T386256944200816929,Canteen Ireland,20032180,2012-08-18
A1253,T6309235832106441748,Ronanstown Women's Community Development Project Limited,20075576,2014-11-27
A1254,T8080973176501775423,Irish Road Victims' Association,20100070,2018-03-18
A1255,T2715315545762039590,Oblates of Mary Immaculate,20004651,2006-06-06
A1256,T7183890097403188468,Ballinteer Community School,20148836,2014-08-01
A1257,T5062703484017175875,Captain Francis O'Neill Memorial Limited,20043377,1999-06-09
A1258,T2129492945748283785,Glenealy I.T. Centre Limited,20042882,1998-10-21
A1259,T7461599007626902674,Roscommon Community Playgroup Limited,20029777,2013-11-27
A1260,T3390344327637334610,Irish Society for Autism,20008529,1980-05-16
A1261,T3390344327637334610,Irish Society for Autism Housing Association Limited,20065140,2006-08-25
A1262,T4388303099434992451,Offaly School Of Special Education,20140588,2015-12-01
A1263,T3421619666399361741,Sn M An Croi Gan Smal,20122348,2019-12-05
A1264,T3421619666399361741,OGONNELLOE COMMUNITY CENTRE CLG,20160760,2014-09-25
A1265,T2222628399935531121,Milltown Community Council Limited,20034832,1996-10-14
A1266,T5859326505068374582,Oblates of Mary Immaculate,20004651,2012-06-06
A1267,T502700664719643264,Cardiac Risk in the Young in Ireland Limited,20047511,2016-05-31
A1268,T5141774965060494704,Ballinrobe Civic Arts & Amenity Company Limited,20078133,2014-10-23
A1269,T9127986138132156600,St. Joseph's Foundation,20016104,2005-05-09
A1270,T432855127664764644,Engineers Without Borders Ireland CLG,20158101,2014-12-14
A1271,T7823007937007834250,Cystinosis Foundation Ireland Limited,20053796,2009-01-01
A1272,T4589668373670328461,Saint Raphael's Parents and Friends Association,20009960,2007-08-01
A1273,T7579389439074601272,Glenfarne Community Development Trust Limited,20049355,2017-03-29
A1274,T1781724308930595540,Sn Sailearna,20121082,2010-10-06
A1275,T2771350134657571761,St. Joseph's Penny Dinner Fund Trust,20053055,2012-04-23
A1276,T1502002209564120025,Canteen Ireland,20032180,2012-09-15
A1277,T5889152048494233996,Glenbrohane N S,20127473,2016-01-04
A1278,T3831317628503763134,Roscrea Abbey Community Centre Limited,20074050,2010-07-13
A1279,T2040692397926581686,Enniscorthy Community Housing CLG,20032630,2014-04-22
A1280,T1345479637482084918,C.b.s. Mount Sion; Waterford,20148096,2015-10-01
A1281,T7690683703562357386,Clonmult Community Co-Op Society Limited,20023508,2011-11-11
A1282,T6800160006824360912,A Little Lifetime Foundation,20031688,2017-04-22
A1283,T7795413251685313543,Roscommon S P C A,20072735,2018-02-17
A1284,T5079452755950761672,Sn N Sailbheastar Nfa,20118969,2011-12-01
A1285,T9144250989050397963,Roscommon Friendly Call Service,20165390,2008-10-10
A1286,T3458811781146133278,Ronald McDonald House Charities (IRL),20037000,2019-04-10
A1287,T5421544938572469457,Ballybeg Community Development Project Company Limited by Guarantee,20031992,2016-03-23
A1288,T509940873470994774,C.b.s. Roscommon,20148164,2013-10-15
A1289,T440627778344047064,Glenbrohane N S,20127473,2016-01-04
A1290,T8990616045065376160,Clonown N S,20133641,2015-12-10
A1291,T8662270739418813446,Glenbrohane N S,20127473,2016-01-04
A1292,T8499686065345286375,Missionary Sisters Servants Of The Holy Spirit-Maynooth,20017316,2013-03-22
A1293,T4559867177040069284,Saint Ultan's Childcare Project Limited,20070038,2008-11-10
A1294,T8064787101399604456,Abbey Theatre Amharclann Na Mainistreach,20038984,2015-07-16
A1295,T7132460343896447564,Saint Ultan's Childcare Project Limited,20070038,2008-11-10
A1296,T84725391275227171,Enniscorthy Christian Fellowship,20068394,2019-05-13
A1297,T7258580763014728334,Cara Rescue Dogs Limited,20080983,2011-11-14
A1298,T2788264442413438404,Clooniquin N S,20133849,2016-02-04
A1299,T6489924134305423304,Daingean Community Childcare Services Limited,20059767,2015-05-12
A1300,T3841742007739752248,Cappatagle Central Sch,20122522,2012-01-31
A1301,T8903082928516121492,Saint Patrick's College - Cavan.,20016326,2014-10-14
A1302,T5041786107012273561,Glencorrib N S,20130350,2015-12-01
A1303,T6588672058274248330,Cara Rescue Dogs Limited,20080983,2011-11-14
A1304,T6506670891600761467,Oatlands College,20144999,2006-09-01
A1305,T6473648496441892542,80:20 Educating And Acting For A Better World Limited,20034221,2011-01-25
A1306,T1357908101488178711,Enactus Ireland,20080075,2018-04-12
A1307,T7257033043117349114,Sn Nicolais Naofa,20139117,2016-01-26
A1308,T4548630535622712292,Roscommon County Childcare Committee,20058623,2014-05-14
A1309,T8296070536318361553,Dal Riada Language Centre Limited,20032982,2014-03-03
A1310,T3445651033949153549,Abbey Presbyterian Church,20000608,1989-09-17
A1311,T6527151524152466930,Clonmany Enterprise Development Limited,20032135,1999-03-19
A1312,T1978556923405070856,OBAIR Community Support DAC,20107901,2004-03-02
A1313,T2887154085588044445,Carbally community Development project,20141240,2017-01-25
A1314,T5180508492621611763,Roscommon Integrated Development Company Limited T/a Roscommon LEADER Partnership,20070878,2011-06-02
A1315,T7857350505018153764,ENHANCE,20064679,2016-01-27
A1316,T4205191603190957429,Irish Seed Saver's Association Ltd,20045029,2018-01-01
A1317,T1768274667736819779,MILLTOWNPASS COMMUNITY ACTION GROUP,20143169,2003-06-09
A1318,T2103814729792800619,MILLTOWNPASS COMMUNITY ACTION GROUP,20143169,2003-06-09
A1319,T7880748563715325103,1st Bagenalstown Baden Powell Scout Troop,20142438,2009-01-07
A1320,T8897452622544478300,1st Bagenalstown Baden Powell Scout Troop,20142438,2009-01-07
A1321,T927022050077540068,1st Bagenalstown Baden Powell Scout Troop,20142438,2009-01-07
A1322,T1174131549837099599,Irish Scouting Fellowship,20080846,2012-06-05
A1323,T3723728779628107171,1st Bagenalstown Baden Powell Scout Troop,20142438,2009-01-07
A1324,T3883481564193007922,Irish Rural Link Co-Operative Society Limited,20026516,2015-06-29
A1325,T7088428146489740595,St. Johnston/ Carrigans Resource Group Limited.,20037420,2009-03-30
A1326,T2901618917306637563,Roscommon Older People Council,20165260,2014-06-01
A1327,T4188155532305963898,Ballintubber N S,20133634,2018-10-09
A1328,T5226618865007112680,Ballinode tidy towns,20163976,2013-01-01
A1329,T4940787424712786827,Milltown N S,20109523,2011-12-01
A1330,T8963766841229618533,Oatlands College,20144999,2012-09-01
A1331,T7688086177386444818,Irish Rare Breeds Society,20034122,2017-07-30
A1332,T6471654278671955469,Clontibret N S,20132033,2015-11-30
A1333,T2617311549723045962,St. Johns Senior National School,20138738,2015-09-01
A1334,T6016193763729301829,Irish Social Finance Centre Ltd.,20039998,1998-08-04
A1335,T7825977944480062595,Leargas - The Exchange Bureau.,20020330,2012-07-01
A1336,T9161750414668405475,Enable Ireland Sandymount School,20139711,2015-12-01
A1337,T7879203374894389574,Dalystown N S,20137137,2016-01-19
A1338,T8852759084160357604,Glinsk Community Childcare Limited,20072315,2016-10-05
A1339,T69550792832614617,Sn Naomh Proinnsias,20130312,2015-12-01
A1340,T419994436280703312,Cappagh Orthopaedic Hospital Research & Development Foundation,20023201,2019-06-20
A1341,T937490388602467203,C.B.S.,20148287,2015-10-18
A1342,T7748930322836224118,Daingean Community Childcare Services Limited,20059767,2015-05-12
A1343,T3045621184442578214,Abaile Autism Support Limited,20052232,2005-10-05
A1344,T627606249133336264,Sn Naomh Samhthann,20115395,2016-02-03
A1345,T1663341704347436255,A Little Hope,20108069,2015-08-04
A1346,T7200303622238410793,Sn Mhic Dara,20122614,2015-11-26
A1347,T6366198724474482768,C.B.S.,20148287,2015-10-18
A1348,T7411585302733946147,Roscommon Integrated Development Company Limited T/a Roscommon LEADER Partnership,20070878,2018-10-11
A1349,T948128777332109799,Sn Mhuire (Ballyhooly),20114213,2015-12-01
A1350,T2575666894383365904,Saint Paul's School-Navan,20017804,2012-11-30
A1351,T1279179654854534518,Clonmel Youth Training Enterprises Ltd,20037017,1984-07-19
A1352,T8571929139300148954,Clonmel Polish School,20079833,2015-09-04
A1353,T5009011413730584388,Daar-E-Arqam Trust,20076009,2011-03-08
A1354,T7342110921620276232,Roscara Housing Association Limited,20032586,2014-07-16
A1355,T8195161507410533080,Milltownpass N S,20137168,2017-10-20
A1356,T8996641379816878145,Gleneely N S,20115784,2015-12-01
A1357,T297719499676010565,Cara House Family Resource Centre Ltd,20075651,2016-03-08
A1358,T3607414195354006984,Clonmel Polish School,20079833,2015-09-01
A1359,T7219470981621899808,Mills and Millers of Ireland,20048600,2015-10-10
A1360,T2488366165073971102,Sn Paroiste Maitiu Nfa,20117139,2015-11-19
A1361,T3143137058466173848,Leinster Printmaking Studio Limited,20037499,1998-01-08
A1362,T5696587973056905043,Leamy Endowments.,20002787,2002-09-12
A1363,T7475886704687411951,Roscommon Tidy Towns Association,20164089,2017-01-01
A1364,T155370658763108529,Ballinteer Community School,20148836,2014-08-01
A1365,T6812991386271975095,Ballyadams N S,20126063,2015-12-14
A1366,T5373747444860550814,A-Z Children Limited,20053406,2013-12-14
A1367,T2119082924296224543,Glin Going Strong Club,20040345,1993-01-01
A1368,T6626427884696187291,Glenfarne Community Development Trust Limited,20049355,2017-03-30
A1369,T3533653273604613905,Irish Road Victims' Association,20100070,2018-03-18
A1370,T8716515982704745503,Ronanstown Women's Community Development Project Limited,20075576,2014-11-27
A1371,T2646832555952552532,Leighlinbridge Community Childcare Limited,20063771,2016-04-29
A1372,T1424937625070041931,Offaly School Of Special Education,20140588,2015-12-01
A1373,T8343969170242061990,Saint Peters Parish Almshouse Charity-Dublin,20022976,2018-04-30
A1374,T8528241244874514250,Glenstal Abbey School,20084516,2018-01-11
A1375,T6233504597004439053,Glengurt N S,20127251,2015-12-01
A1376,T3928275351105481346,Roscrea Society For The Prevention of Cruelty To Animals,20106911,2017-11-01
A1377,T3411682754266170008,Cloonacool N S,20134105,2015-12-01
A1378,T8618774230797524729,Ennis Old Folks Club.,20011611,2017-09-01
A1379,T3724553497182953007,Glenbrohane Community Association,20141790,2015-01-01
A1380,T6015225969903545977,Enactus Ireland,20080075,2015-08-27
A1381,T8607750165690595799,Roscommon Older People Council,20165260,2011-05-02
A1382,T5269452472505132037,Roscarbery Con N S,20112868,2015-11-10
A1383,T7043224301988324392,Legion Of Mary-Knock Pilgrimage Account.,20017781,2015-01-01
A1384,T4393110065609487216,Enniscorthy Community Housing CLG,20032630,2014-09-08
A1385,T931683726219270696,Ballinrobe Civic Arts & Amenity Company Limited,20078133,2014-10-23
A1386,T5035433967472458963,Glin Day Care Centre Limited,20074395,2012-12-01
A1387,T440977436647012759,Saint Wolstans Community School,20013882,2017-08-01
A1388,T7920311043935821667,Offaly Association for People with an Intellectual Disability,20017279,2005-09-01
A1389,T1667446742328835409,Ballintubber Community Playground Company Limited by Guarantee,20162917,2017-06-16
A1390,T6896241780448451268,Irish Society for Autism,20008529,2001-10-06
A1391,T6317301692044508783,Leargas - The Exchange Bureau.,20020330,2012-07-01
A1392,T8937662012180943771,Irish Search Dogs Association,20078607,2012-04-10
A1393,T685773359581166736,Irish Rural Link Co-Operative Society Limited,20026516,2017-07-04
A1394,T4598117758121063561,Cloonfour N S,20133337,2017-10-26
A1395,T8812896721794265693,Sn Mhuire (Ballyhogue),20138400,2015-09-01
A1396,T7544878611992373423,Capacitar Ireland Limited,20059811,2015-02-14
A1397,T2556861896231356613,Ronald McDonald House Charities (IRL),20037000,2002-03-01
A1398,T4541681624457392761,Enniscrone N S,20134198,2015-12-07
A1399,T4330027320138163844,Offaly Association for People with an Intellectual Disability,20017279,2013-03-02
A1400,T608413215616208552,Roscommon County Childcare Committee,20058623,2016-06-13
A1401,T8161848664464056092,Roscommon Home Services Co-operative Ltd,20056827,2013-02-16
A1402,T4858862143117165861,Roscommon Integrated Development Company Limited T/a Roscommon LEADER Partnership,20070878,2017-12-08
A1403,T6545414934529512825,Glin Homes for the Elderly Limited,20052126,2012-01-23
A1404,T1271869201460483481,Clonroche N S,20137731,2004-01-28
A1405,T3085271738303869564,Offaly Integrated Local Development Company Limited,20072551,2007-12-05
A1406,T2807054559825886473,Enable Ireland Disability Services,20006617,2017-02-02
A1407,T2556141448464180256,Rosary College,20145811,2016-10-24
A1408,T9145546004565850929,Enniscrone N S,20134198,2015-12-07
A1409,T5102769512014912763,St. Johns Senior National School,20138738,2015-09-01
A1410,T8591988411293590776,Clonmany Mental Health Association Company Limited by Guarantee,20153694,2014-07-05
A1411,T313700614680080911,Cara House Family Resource Centre Ltd,20075651,2013-10-09
A1412,T1894881112782431876,Clooncagh N S,20133627,2015-11-01
A1413,T1504380152753207823,Ballintleva N S,20133979,2015-11-19
A1414,T7457366067746858290,Ennistymon National School,20111250,2019-12-02
A1415,T6013123961746402709,Offaly Association for People with an Intellectual Disability,20017279,1990-01-01
A1416,T8193225935996598348,Ballinteer Educate Together NS,20082710,2012-04-01
A1417,T3266398920003503151,Cardiac Risk in the Young in Ireland Limited,20047511,2002-07-01
A1418,T7487736852780819026,Cara Cancer Support Centre,20083588,2015-04-11
A1419,T6091569934182589175,Miscarriage Association Of Ireland,20024420,2013-01-01
A1420,T2400734663991736792,Sn Mhuire (Ballyhogue),20138400,2016-09-01
A1421,T7984743359426178233,22Q11 Ireland Support Group Limited,20066109,2014-10-01
A1422,T7984743359426178233,Cappamore Housing Association Company by Limited Guarantee,20066840,2007-02-14
A1423,T8470438138238096578,A Little Hope,20108069,2015-08-04
A1424,T3171353479816375103,Missionaries Of Charity Of Mother Teresa Of Calcutta,20017446,2015-12-19
A1425,T418586316733151084,Ogonnelloe National School,20110710,2005-09-01
A1426,T8702408932534197110,Glenbrohane N S,20127473,2016-01-04
A1427,T3483194682987644698,Roscarbery Con N S,20112868,2015-11-10
A1428,T6109528477099840011,Saint Philomena's National School,20019310,2015-12-01
A1429,T1627043881786811614,CanTalk,20142247,2014-09-23
A1430,T5195675663698753995,Glencrow Hall,20084042,2015-03-15
A1431,T1517180577190902691,Irish Skin Foundation,20078706,2011-01-17
A1432,T7455645998776472953,Saint Wolstans Community School,20013882,2017-08-01
A1433,T1127877845727064614,Ballintleva N S,20133979,2015-11-19
A1434,T8441756147565999483,Roscara Housing Association Limited,20032586,1999-05-31
A1435,T121390657508505052,Enniskerry Select Vestry,20005917,2016-04-16
A1436,T6100789963417397311,Roscara Housing Association Limited,20032586,2001-01-20
A1437,T1085616117256237399,Cystic Fibrosis Registry of Ireland,20065638,2011-09-08
A1438,T7423876540848771132,Canteen Ireland,20032180,2015-01-31
A1439,T348949388045139224,Abbeycarton Ns,20134037,2015-12-04
A1440,T4556292515867067197,Clonmany Agricultural Sheepdog Association Limited,20054151,1999-09-06
A1441,T8514789011200807057,Enniskerry Select Vestry,20005917,2016-04-04
A1442,T1207728934096486787,Saint Paul's Area Development Enterprise CLG,20021788,2014-04-23
A1443,T406566231722263718,Saint Peters College.,20001681,2018-09-28
A1444,T5281763156232803503,Daisyhouse Housing Association Ltd,20024185,2014-06-16
A1445,T6173110711801375674,Ballinrobe Town Park.,20006310,2016-04-01
A1446,T8949948875114818314,Ballinrobe Community School,20149314,2016-08-31
A1447,T5819756609111715471,Saint Peters Parish Almshouse Charity-Dublin,20022976,2018-04-30
A1448,T5819756609111715471,Saint Peters Schools and Mrs. Wrays Schools.,20002213,2016-04-08
A1449,T2469783961422937621,Roscommon Tidy Towns Association,20164089,2017-01-01
A1450,T4616431804596054237,Irish Rare Breeds Society,20034122,2017-07-30
A1451,T2665094524901439592,Abaile Autism Support Limited,20052232,2005-09-29
A1452,T6244017622389678195,C.b.s. Secondary School,20146184,2014-11-13
A1453,T7249074085817992815,Ballinskelligs Community Care,20047214,2015-11-04
A1454,T47137539795902101,Missionaries Of Charity Of Mother Teresa Of Calcutta,20017446,2015-03-14
A1455,T6384688469886233412,Dalkey Irish Heritage Town Company Limited,20026363,2018-06-26
A1456,T4584714954501888638,St. Joseph's Foundation,20016104,1969-01-01
A1457,T8806195226330364551,Glenstal Abbey Operations,20144586,2016-09-05
A1458,T8806195226330364551,Glenstal Abbey School,20084516,2014-09-18
A1459,T3944665430614942943,Óglaigh Náisiúnta Na hÉireann Cuideachta Faoi Theorainn Ráthaíochta,20044268,2015-09-26
A1460,T8634569015752537256,St. Johns Senior National School,20138738,2015-09-01
A1461,T3965049168242497092,Ballinrobe Town Park.,20006310,2016-04-01
A1462,T3965049168242497092,Ballintubber Resource Centre Limited,20054830,2002-12-19
A1463,T869602021958699441,Gleneely N S,20115784,2017-09-15
A1464,T7260804132603469385,Oaktree Charitable Trust,20036577,1997-08-18
A1465,T5223617781667490573,Ronald McDonald House Charities (IRL),20037000,2014-03-05
A1466,T5002476673650496428,Glencree Centre for Peace and Reconciliation,20009823,2018-07-27
A1467,T5265267548470418666,Cara House Family Resource Centre Ltd,20075651,2016-02-23
A1468,T6661512167211253501,Min A Ghabhann N S,20115265,2015-11-02
A1469,T4345958329512789070,Clonown N S,20133641,2017-09-01
A1470,T829492481647368267,Ballinrobe Town Park.,20006310,2017-04-01
A1471,T2200060226397850851,Ballybay Central,20134013,2015-12-01
A1472,T8351087929992868130,Clonmel Baptist Church,20069100,2009-01-11
A1473,T4711843138178504583,Glencorrib N S,20130350,2015-12-01
A1474,T3543080989110590265,Saint Ultan's Childcare Project Limited,20070038,2015-07-14
A1475,T1622164303672501379,Roscrea Cares Company Limited by Guarantee,20038243,2017-08-04
A1476,T534847196870325176,Sn Iosef Naofa,20110857,2015-11-30
A1477,T2814561034326246500,Ballintogher N S,20134075,2019-12-02
A1478,T5970853957244115283,Roscommon County Childcare Committee,20058623,2014-03-31
A1479,T1809893753791092847,Cloonbonniffe Community Council Committee Ltd,20082413,2014-08-01
A1480,T1375660887166646166,Offaly County Childcare Committee Limited,20049782,2012-06-21
A1481,T3218110295697914640,A Dogs Life,20071882,2006-06-02
A1482,T5579329873116446789,Min A Ghabhann N S,20115265,2015-11-02
A1483,T5686713636683464542,Missionaries Of Charity Of Mother Teresa Of Calcutta,20017446,2015-03-14
A1484,T8542184732608326211,Enable Ireland Disability Services,20006617,1995-12-13
A1485,T3756578696363354026,A Dogs Life,20071882,2015-10-13
A1486,T3927169881054476960,Empowerment Plus Limited,20074043,2018-11-30
A1487,T2138588364954464461,Missionaries Of Charity Of Mother Teresa Of Calcutta,20017446,2015-03-14
A1488,T7642248130209144732,1428 CLUB,20043735,2017-04-12
A1489,T1375004266988762309,Missionaries Of Charity Of Mother Teresa Of Calcutta,20017446,2015-03-14
A1490,T5618256315014462134,Saint Paul's School-Navan,20017804,1999-11-30
A1491,T9132150816205189896,Ballintogher N S,20134075,2016-01-04
A1492,T1631530423503118478,St. Johnston/ Carrigans Resource Group Limited.,20037420,2017-10-26
A1493,T4579926041308046289,Offaly Centre for Independent Living,20043568,2014-02-27
A1494,T2903606469875219910,Leitrim Association For People With Disabilities,20034283,2012-10-04
A1495,T8072842583826639837,Offaly Association for People with an Intellectual Disability,20017279,2006-05-09
A1496,T8003705793999842681,Caragh N S,20124816,2015-12-10
A1497,T3484353175747106873,Roscommon County Citizens Information Service Limited,20048815,2010-04-27
A1498,T5968551761389591309,Glenfarne Community Development Trust Limited,20049355,2007-03-01
A1499,T5391856649112901601,Boher Community Development Association,20154943,2012-02-01
A1500,T3707803226565199634,Cara Junior School,20139599,2011-09-01
A1501,T2766221456731050189,C.A.R.I. Foundation - Children at Risk in Ireland,20023751,2000-09-21
A1502,T6996057213570296174,Oaktree Charitable Trust,20036577,2009-06-16
A1503,T6610861112366710458,Ballinrobe Community School,20149314,2016-08-31
A1504,T4182286752571281710,Enable Ireland Disability Services,20006617,2019-01-24
A1505,T5120176941256407663,Glenstal Abbey School,20084516,2018-01-11
A1506,T1143270367823014936,Oakdene House Ltd,20024536,1985-05-28
A1507,T8973933592500846328,Cappatagle Central Sch,20122522,2014-02-13
A1508,T7451758367698409329,Offaly Centre for Independent Living,20043568,2004-02-17
A1509,T5669182685149942918,Offaly Centre for Independent Living,20043568,2016-11-30
A1510,T7018812982814439537,Enable Ireland Sandymount School,20139711,2015-11-01
A1511,T3779846303801351739,Daingean Community Childcare Services Limited,20059767,2015-05-12
A1512,T4451152346869984124,Clonmany Agricultural Sheepdog Association Limited,20054151,1999-09-06
A1513,T984644872616263841,Glengurt N S,20127251,2015-12-01
A1514,T2074001138929798224,St. Joseph's National School (Mulhussey),20131661,2015-10-22
A1515,T1724103073893955815,Ennis Book Club Festival CLG,20153748,2016-09-01
A1516,T4025180289250537706,Glin Day Care Centre Limited,20074395,2009-08-13
A1517,T4025180289250537706,Glin Homes for the Elderly Limited,20052126,2005-04-19
A1518,T2316666494247409453,Irish Rule of Law International,20073541,2016-10-27
A1519,T3636952691358435755,Clonmel Resource Centre,20032722,2003-10-31
A1520,T7611475400354320239,Irish Society for Christian Civilisation,20082277,2004-04-04
A1521,T8000966725442779106,Irish Rule of Law International,20073541,2010-02-24
A1522,T6807920439376261338,Legan Community Childcare Limited,20060763,2003-12-04
A1523,T7225131938271624024,Rooskey N S,20133207,2015-12-08
A1524,T6605436131249904096,Glencar Community Resource Trust Ltd,20041663,2000-01-20
A1525,T374560480566988856,Miscarriage Association Of Ireland,20024420,1995-04-01
A1526,T874536819033843315,Ballinlough Youth Café Limited,20078829,2010-08-19
A1527,T8339327355829721489,Missionaries Of Charity Of Mother Teresa Of Calcutta,20017446,2009-03-24
A1528,T2976007176688350544,Glencree Centre for Peace and Reconciliation,20009823,2020-01-17
A1529,T2976007176688350544,Clonmore N S,20134822,2015-12-14
A1530,T4491527813091091333,Legion Of Mary-Knock Pilgrimage Account.,20017781,2015-01-01
A1531,T3743896543248371808,Daingean Social Services.,20019570,2014-04-02
A1532,T191269649205142016,Cloone/ Aughavas Community Childcare Limited,20045999,2014-09-01
A1533,T6452129260028131813,Sn Na Croise Naofa,20115982,2015-11-26
A1534,T2757464393097217754,A Little Lifetime Foundation,20031688,2017-03-25
A1535,T8649307967064651185,Glenfarne Community Development Trust Limited,20049355,2017-03-31
A1536,T6969016489364670474,Offaly Association for People with an Intellectual Disability,20017279,1990-01-01
A1537,T6969016489364670474,Ballybay Cancer Society,20076085,2011-01-31
A1538,T2421672067777984117,Leighlinbridge Housing Association Ltd,20062750,2006-02-27
A1539,T3122482496522591173,Legion Of Mary-Knock Pilgrimage Account.,20017781,2015-01-01
A1540,T2655451285846475380,Offaly Association for People with an Intellectual Disability,20017279,1990-01-01
A1541,T5665702126276440410,Roscommon County Citizens Information Service Limited,20048815,2016-12-16
A1542,T3858235698432220501,Offaly Hospice Foundation Limited,20025540,2010-05-19
A1543,T3858235698432220501,Enniscorthy Swimming Pool Complex.,20016432,2016-11-14
A1544,T4942429364066601687,Roscrea Cares Company Limited by Guarantee,20038243,2017-08-04
A1545,T7371175938563310232,Ballintleva N S,20133979,2015-11-19
A1546,T3108840322662946214,Cara Iorrais Teoranta,20074609,2015-09-11
A1547,T4479864566203650018,Obair Newmarket-On-Fergus Limited.,20026738,2006-03-27
A1548,T6128099921409389127,C.A.S.A. Break Houses.,20027599,2004-06-02
A1549,T6128099921409389127,Daingean Community Childcare Services Limited,20059767,2015-05-12
A1550,T5168605908179900984,C.b.s. Thurles,20148409,2017-11-15
A1551,T3692028358850018901,Saint Raphael's Parents and Friends Association,20009960,2000-08-01
A1552,T8402686719297015583,Missionary Sisters Servants Of The Holy Spirit-Maynooth,20017316,2013-03-22
A1553,T8511224337038785757,Enniscorthy Community Housing CLG,20032630,2019-03-13
A1554,T5463832284550242896,Missionaries Of Charity Of Mother Teresa Of Calcutta,20017446,2009-03-24
A1555,T6042966579896741003,80:20 Educating And Acting For A Better World Limited,20034221,2015-01-06
A1556,T8656834034569539892,C.b.s. Thurles,20148409,2016-11-08
A1557,T8656834034569539892,A Little Lifetime Foundation,20031688,2000-05-01
A1558,T7472600673449354029,Roscrea Cares Company Limited by Guarantee,20038243,2017-08-04
A1559,T7475400380734519636,Clonmel Community Parent Support Programme,20045227,2011-06-28
A1560,T5909701676297744704,Roscrea Cares Company Limited by Guarantee,20038243,2017-08-04
A1561,T1925128790847714827,Ballon Rathoe Childcare Facility Limited,20074289,2009-04-03
A1562,T1705217587895792383,1st Edenderry B.P. Scouts,20164034,2008-03-05
A1563,T6119168402817689608,C.B.S. James Street,20145378,2013-09-02
A1564,T216149405077354597,Glenbeigh Forever Young Social Centre,20108120,2019-01-14
A1565,T2705203672219077351,Ballinskelligs Community Care,20047214,2004-04-01
A1566,T169035526245247534,Clonmany Enterprise Development Limited,20032135,2004-04-01
A1567,T7270093188713671005,Sn Na Leanai,20136642,2016-09-03
A1568,T1418031168186105946,Ennis Schools Completion Programme Limited,20080631,2012-06-26
A1569,T1188660508734305939,Irish Skin Foundation,20078706,2011-01-17
A1570,T5359672078342305755,Enniscrone N S,20134198,2015-12-07
A1571,T8859407848477985872,Offaly Integrated Local Development Company Limited,20072551,2007-12-05
A1572,T9159799140473488100,Irish Red Cross Society,20005184,2015-05-23
A1573,T1353573493600080437,Leave No Trace (Ireland),20082178,2008-08-08
A1574,T6632951095653173581,Glencar Community Resource Trust Ltd,20041663,2000-01-20
A1575,T6981382382344317654,Enable Ireland Disability Services,20006617,2000-09-13
