Name,Charity,Registered Number,Date
T5942346599626644868,Ballintotas N S,20112929,2019-12-01
T5446982082584420120,Sn Na Leanai,20136642,2016-09-03
T1326528435133562471,Sn Na Leanai,20136642,2016-09-03
T3517320025975552901,CanTalk,20142247,2014-09-23
T6262639871077073313,Enniscorthy Christian Fellowship,20068394,2012-05-19
T1976262378250105497,Leanbh Mo Chroi,20080747,2013-01-01
T1079797497467896222,Enable Ireland Sandymount School,20139711,2015-11-01
T2524122898873839744,Ballybay Central,20134013,2016-09-01
T2806390998952813693,Glin Going Strong Club,20040345,1993-01-01
T5472687966877920494,Abbey Theatre Amharclann Na Mainistreach,20038984,2019-06-17
T509404368911190738,Ballybay Central NS,20132460,2016-02-09
T6421781067672140384,Ballinskelligs Community Care,20047214,2004-04-01
T6151003593570339330,Enniskerry Select Vestry,20005917,2015-04-14
T4427074373924533367,Saint Patrick's College - Cavan.,20016326,2014-10-14
T4884203601787130871,Clonmel Union,20006983,2016-12-15
T4697892019008911488,Mills and Millers of Ireland,20048600,2015-10-10
T8946794996471777003,Missionaries Of Charity Of Mother Teresa Of Calcutta,20017446,2011-12-12
T2664835548517587740,22Q11 Ireland Support Group Limited,20066109,2014-10-01
T2834675412484053958,Offaly County Childcare Committee Limited,20049782,2016-07-21
T2455387761586652583,Abbeycarton Ns,20134037,2015-12-04
T7111289756364503008,Glencree Centre for Peace and Reconciliation,20009823,2013-11-24
T3656756919470461827,Dalkey School Project Trust,20010386,1979-08-14
T1725615581580805332,Leenane Development Association Limited,20083946,2013-09-26
T2755652181981597246,Ogonnelloe National School,20110710,2016-09-01
T5173749996488178702,Irish Red Cross Society,20005184,2015-05-23
T3487141035668988653,Saint Paul's Area Development Enterprise CLG,20021788,2004-02-09
T8249864658663957078,Employment Development and Information Centre (Longford0 Limited,20058708,2005-03-31
T4402506851341248115,St Mary of Debrework Ethiopian Orthodox Tewahedo Church of Dublin; Ireland,20141967,2016-01-10
T581249584482976586,Cloonacool N S,20134105,2015-12-01
T5315124701977908716,Cappoquin Community Development Company Ltd.,20028121,1993-05-01
T4274972535614754145,Leighlinbridge Community Childcare Limited,20063771,2014-09-08
T8432615243359047240,Lee Valley Bible Church,20038717,2016-10-11
T3804765122539346066,Ronanstown Community Childcare Centre,20039288,2002-08-09
